PERIOD,UNIT_ID,UNIT_NAME,UNIT_TYPE,AREA_CODE,AREA_NAME,REG_CODE,REG_NAME,TOPIC_REASON_1,TOPIC_REASON_2,TOPIC_RESULT,SERVICE,BRAND,APP_ID,JML
2023-05-15,90070,GraPARI Lambaro,gerai,1,Sumatera,1,Sumbagut,Outlet â€“ Penjualan Produk,Orbit,I92-Informasi Orbit,I,simPATI,DSC,3
2023-05-15,90070,GraPARI Lambaro,gerai,1,Sumatera,1,Sumbagut,MUTASI,CLS,P55-Permintaan perubahan modify CLS (downgrade),P,KartuHalo,DSC,1
2023-05-15,90070,GraPARI Lambaro,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,P14-Permintaan Reaktivasi,P,kartu As,DSC,1
2023-05-15,90443,GraPARI Tanjung Balai Asahan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,I26-Informasi syarat & ketentuan produk,I,kartu As,DSC,1
2023-05-15,90443,GraPARI Tanjung Balai Asahan,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,kartu As,DSC,3
2023-05-15,90443,GraPARI Tanjung Balai Asahan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan kill session,P,KartuHalo,DSC,1
2023-05-15,10,GraPARI Banda Aceh,grapari,1,Sumatera,1,Sumbagut,CAMPAIGN & LOYALTY,Daily Check-In,I65-Informasi syarat & ketentuan Daily Check-In,I,kartu As,DSC,4
2023-05-15,10,GraPARI Banda Aceh,grapari,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,K14-Nomor tidak dapat direaktivasi,K,simPATI,DSC,2
2023-05-15,10,GraPARI Banda Aceh,grapari,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,K14-Nomor tidak dapat direaktivasi,K,kartu As,DSC,1
2023-05-15,10,GraPARI Banda Aceh,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,P26-Permintaan aktivasi produk,P,kartu As,DSC,2
2023-05-15,1510,GraPARI Padang Sidempuan,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,kartu As,DSC,1
2023-05-15,180,GraPARI Meulaboh,grapari,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,simPATI,DSC,6
2023-05-15,180,GraPARI Meulaboh,grapari,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,skunk,DSC,1
2023-05-15,180,GraPARI Meulaboh,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi sisa kuota & paket yg aktif,I,simPATI,DSC,1
2023-05-15,180,GraPARI Meulaboh,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi channel aktifasi/pembelian,I,kartu As,DSC,5
2023-05-15,180,GraPARI Meulaboh,grapari,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Perdana PraBayar,I12-Informasi syarat, ketentuan, spesifikasi & tarif PraBayar,I,kartu As,DSC,1
2023-05-15,180,GraPARI Meulaboh,grapari,1,Sumatera,1,Sumbagut,TERMINASI,Unregistrasi Prabayar,P72-Permintaan unregistrasi Prabayar karena penyalahgunaan NIK,P,simPATI,DSC,1
2023-05-15,483,GraPARI Sibolga,grapari,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Pembayaran Tagihan,I44-Informasi channel pembayaran,I,KartuHalo,DSC,1
2023-05-15,483,GraPARI Sibolga,grapari,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Masa Aktif Prepaid,I41-Informasi syarat dan ketentuan masa tenggang,I,kartu As,DSC,1
2023-05-15,483,GraPARI Sibolga,grapari,1,Sumatera,1,Sumbagut,CAMPAIGN & LOYALTY,Daily Check-In,I65-Informasi syarat & ketentuan Daily Check-In,I,simPATI,DSC,1
2023-05-15,483,GraPARI Sibolga,grapari,1,Sumatera,1,Sumbagut,MUTASI,P2P/SPTP,P58-Permintaan Migrasi Pre to Post,P,KartuHalo,DSC,1
2023-05-15,483,GraPARI Sibolga,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,P26-Permintaan aktivasi produk,P,simPATI,DSC,1
2023-05-15,484,GraPARI Kisaran,grapari,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,KartuHalo,DSC,29
2023-05-15,484,GraPARI Kisaran,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi channel aktifasi/pembelian,I,kartu As,DSC,1
2023-05-15,484,GraPARI Kisaran,grapari,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Prepaid Registration,I13-Informasi cara registrasi Prabayar,I,skunk,DSC,1
2023-05-15,777,GraPARI Binjai Supermall,grapari,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,I26-Informasi syarat & ketentuan produk,I,kartu As,DSC,1
2023-05-15,1112,GraPARI Bangkinang,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,simPATI,DSC,1
2023-05-15,1112,GraPARI Bangkinang,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,kartu As,DSC,1
2023-05-15,1113,GraPARI Bengkalis,gerai,1,Sumatera,2,Sumbagteng,TAGIHAN & PEMBAYARAN,Masa Aktif Prepaid,I41-Informasi pulsa & masa aktif,I,kartu As,DSC,1
2023-05-15,1113,GraPARI Bengkalis,gerai,1,Sumatera,2,Sumbagteng,MUTASI,CLS,P55-Permintaan perubahan modify CLS (upgrade),P,KartuHalo,DSC,1
2023-05-15,1113,GraPARI Bengkalis,gerai,1,Sumatera,2,Sumbagteng,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,P14-Permintaan Reaktivasi,P,kartu As,DSC,1
2023-05-15,1115,GraPARI Duri,gerai,1,Sumatera,2,Sumbagteng,TAGIHAN & PEMBAYARAN,Tagihan Pelanggan,I42-Informasi tagihan berjalan,I,KartuHalo,DSC,2
2023-05-15,1115,GraPARI Duri,gerai,1,Sumatera,2,Sumbagteng,TAGIHAN & PEMBAYARAN,Masa Aktif Prepaid,I41-Informasi pulsa & masa aktif,I,simPATI,DSC,6
2023-05-15,1118,GraPARI Pangkalan Kerinci,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,I51-Informasi syarat dan ketentuan,I,simPATI,DSC,2
2023-05-15,1118,GraPARI Pangkalan Kerinci,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,kartu As,DSC,2
2023-05-15,1119,GraPARI Payakumbuh,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Digital Life Style,I26-Informasi syarat & ketentuan produk,I,KartuHalo,DSC,1
2023-05-15,1119,GraPARI Payakumbuh,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Rusak Akibat Penggunaan,P,kartu As,DSC,1
2023-05-15,1121,GraPARI Selat Panjang,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Digital Life Style,P26-Permintaan aktivasi produk,P,simPATI,DSC,5
2023-05-15,1122,GraPARI Tanjung Batu Karimun,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,I51-Informasi syarat dan ketentuan,I,kartu As,DSC,1
2023-05-15,1122,GraPARI Tanjung Batu Karimun,gerai,1,Sumatera,2,Sumbagteng,TAGIHAN & PEMBAYARAN,Masa Aktif Prepaid,I41-Informasi pulsa & masa aktif,I,simPATI,DSC,2
2023-05-15,1122,GraPARI Tanjung Batu Karimun,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi channel aktifasi/pembelian,I,simPATI,DSC,1
